Station,pa11_b,pa24,pa24c,pa8,pas10,pas3b,pas3c,pas5,pas8,gc2_3a,gc2_4a,gc2_4b,gc2_4c,gc2_7a,gc2_7b,gc2_7c,gc2_18a,gc2_18b,gc2_18c,gc2_18d,gc2_18e,gc2_18f,gc2_27a,gc2_27b,gc_28aA,gc_28aB,gc2_29,gc2_29A,prob27_28,prob28,prob28_29,prob29,prob30,prob31,prob31_32,prob32
400,0.002991565,0.008970086,0.004180113,0.007441397,0.005501232,0.001627874,0.002014055,0.00425602,0.001881421,0.002453385,0.00261015,0.002905765,0.001956095,0.001972095,0.001342245,0.00170468,0.001337395,0.00124897,0.00157232,0.00155808,0.001498965,0.001541545,0.0014145,0.00134507,0.00119064,0.00117458,0.000685645,0.000975955,0.001263734,0.001324347,0.001262736,0.001338989,0.001295975,0.001167443,0.001281576,0.001434162
405,0.002973631,0.008624134,0.004089086,0.007208918,0.005374123,0.001584688,0.001956382,0.004177269,0.001877156,0.002470285,0.00278955,0.002968365,0.002306395,0.001963195,0.001387545,0.00171078,0.001368695,0.00129487,0.00157112,0.00155148,0.001529865,0.001528445,0.0014421,0.00139177,0.00122294,0.00121378,0.000712545,0.001015955,0.001320041,0.00135163,0.001305677,0.001366999,0.001308803,0.001158579,0.001274742,0.001450493
410,0.002913374,0.008275386,0.003950675,0.006916772,0.005167461,0.001521856,0.001887976,0.004154776,0.001828067,0.002530085,0.00285785,0.003019865,0.002344395,0.001995295,0.001446645,0.00174408,0.001418895,0.00134477,0.00160732,0.00157808,0.001569865,0.001552445,0.0014869,0.00143847,0.00126414,0.00125828,0.000743245,0.001064755,0.001369281,0.001396909,0.001326185,0.001385147,0.001320674,0.001147342,0.001265928,0.001461537
415,0.002990204,0.008041001,0.003931309,0.006865588,0.005168891,0.001587725,0.001913401,0.00428876,0.001897205,0.002588785,0.00281105,0.003028765,0.002202095,0.002012995,0.001463545,0.00178308,0.001444895,0.00137377,0.00162852,0.00158248,0.001591865,0.001564345,0.0015292,0.00148237,0.00130464,0.00129728,0.000768745,0.001102455,0.00144943,0.001448432,0.001380423,0.001424603,0.001345859,0.001153164,0.001281263,0.001491514
420,0.002958504,0.007761808,0.003838721,0.006682547,0.005060843,0.001556058,0.001903943,0.004256909,0.001919369,0.002683085,0.00291225,0.003106565,0.002258395,0.002081495,0.001543745,0.00184988,0.001499395,0.00143117,0.00167942,0.00162978,0.001649865,0.001611945,0.0015889,0.00154377,0.00136534,0.00135548,0.000811845,0.001167055,0.001505184,0.001516857,0.001450895,0.001477193,0.001390113,0.001168373,0.001316653,0.001542807
425,0.003049348,0.007516052,0.003813945,0.006635484,0.005050271,0.001620085,0.001941336,0.004372888,0.00200546,0.002798285,0.00301815,0.003250865,0.002569595,0.002145295,0.001637545,0.00191878,0.001545895,0.00148107,0.00171122,0.00168208,0.001699065,0.001650545,0.001653,0.00160227,0.00142764,0.00141408,0.000851245,0.001218055,0.001588158,0.001581823,0.001502947,0.001517148,0.00142,0.001175831,0.001335406,0.001582637
430,0.003152509,0.007300017,0.003817164,0.006613994,0.005047584,0.001725637,0.002014377,0.004542172,0.002184249,0.002950385,0.00314635,0.003396665,0.002683195,0.002224095,0.001690945,0.00199378,0.001599995,0.00153977,0.00176072,0.00174008,0.001752665,0.001698445,0.0017249,0.00167177,0.00149204,0.00148038,0.000889745,0.001276955,0.001639754,0.001628605,0.001538704,0.001550749,0.001431375,0.001167198,0.001335805,0.001597382
435,0.003156329,0.006966961,0.00373376,0.00642277,0.004932904,0.001716082,0.00199218,0.004613187,0.00217202,0.003105085,0.00330085,0.003520565,0.002689395,0.002303495,0.001762845,0.00206898,0.001664395,0.00160697,0.00182262,0.00179528,0.001829765,0.001750645,0.0017984,0.00175177,0.00156004,0.00155228,0.000938445,0.001351955,0.001735128,0.001691514,0.001604396,0.001595593,0.001466108,0.001183205,0.001357515,0.001631921
440,0.003222689,0.006667048,0.003709668,0.006345358,0.004919032,0.001750201,0.002025895,0.004736956,0.002270637,0.003287085,0.00342305,0.003557765,0.002883795,0.002360695,0.001821745,0.00214288,0.001718695,0.00166597,0.00187552,0.00185308,0.001904165,0.001798845,0.0018815,0.00183737,0.00163484,0.00162588,0.000985945,0.001419455,0.001828769,0.001770176,0.001667719,0.001653793,0.001506088,0.001226218,0.001392905,0.00169164
445,0.003383827,0.006427223,0.003777485,0.00636768,0.00503632,0.001840654,0.002105301,0.004971844,0.002455794,0.003522885,0.00361385,0.003717365,0.003156795,0.002446095,0.001934145,0.00223668,0.001803995,0.00176317,0.00195752,0.00194778,0.002012165,0.001888545,0.0019956,0.00194967,0.00173804,0.00172788,0.001052245,0.001519255,0.001922965,0.001858119,0.001745915,0.001725707,0.001572956,0.001286741,0.001461258,0.001794506
450,0.003492421,0.006149206,0.003811212,0.006309659,0.00506603,0.001890114,0.002161379,0.00512097,0.002566067,0.003782085,0.00381605,0.003973965,0.003300095,0.002557295,0.002057045,0.00232888,0.001894395,0.00185797,0.00204532,0.00205708,0.002134165,0.001985945,0.0021183,0.00206837,0.00184964,0.00184018,0.001123245,0.001621655,0.002044154,0.00197138,0.001848495,0.001830139,0.001657129,0.001374114,0.00154466,0.001912672
455,0.003635785,0.006087018,0.003889466,0.006381083,0.005130084,0.001975441,0.002228693,0.00531201,0.002751713,0.004059885,0.00395035,0.004164665,0.003450495,0.002674995,0.002161545,0.00243398,0.001990495,0.00195567,0.00214342,0.00218638,0.002270065,0.002087445,0.0022523,0.00219877,0.00197044,0.00196418,0.001200145,0.001736655,0.002129538,0.002041466,0.001906979,0.001889475,0.001699067,0.001413706,0.001580064,0.001984325
460,0.003746793,0.006075226,0.003944015,0.006448121,0.005154621,0.002037946,0.002293598,0.005476025,0.002921577,0.004330985,0.00411955,0.004288465,0.003687195,0.002782995,0.002272845,0.00254088,0.002080195,0.00205117,0.00223832,0.00230868,0.002407065,0.002187345,0.0023902,0.00233177,0.00209324,0.00208268,0.001276045,0.001846655,0.002219463,0.002108411,0.001971886,0.001937219,0.001727714,0.001432912,0.001600253,0.002032318
465,0.003907205,0.00608507,0.004028037,0.006527879,0.005243354,0.002137116,0.00237249,0.005702024,0.003116898,0.004593785,0.00428445,0.004423865,0.003794495,0.002872395,0.002360045,0.00263698,0.002157695,0.00214047,0.00232182,0.00241648,0.002533665,0.002285345,0.0025286,0.00246347,0.00221674,0.00219998,0.001350345,0.001953055,0.002297423,0.002170266,0.002021631,0.001982832,0.001760253,0.001467984,0.001620553,0.002091462
470,0.004084573,0.006014518,0.004099785,0.006563288,0.005380213,0.002229523,0.002479899,0.005955813,0.003332258,0.004885185,0.00441475,0.004555465,0.003910095,0.002986595,0.002460945,0.00273278,0.002264095,0.00226137,0.00243522,0.00256238,0.002689465,0.002409045,0.002683,0.00261817,0.00235974,0.00234208,0.001438845,0.002087855,0.002380753,0.002243787,0.002088579,0.00204942,0.001812327,0.001526896,0.001670418,0.002179867
475,0.004229812,0.005840978,0.004123598,0.006508989,0.005501176,0.002305949,0.002552273,0.006176136,0.003499904,0.005184085,0.00453495,0.004665565,0.004226295,0.003095295,0.002561845,0.00282568,0.002371495,0.00238717,0.00254812,0.00272918,0.002863665,0.002535745,0.0028452,0.00277777,0.00251164,0.00249178,0.001530945,0.002227955,0.002509488,0.002353233,0.002177956,0.002147748,0.001897737,0.001618085,0.0017542,0.002317454
480,0.004414647,0.005712266,0.004184255,0.006516067,0.005671247,0.002428586,0.00267089,0.006445326,0.00371898,0.005494685,0.00473155,0.004852865,0.004450495,0.003198395,0.002663045,0.00292388,0.002473195,0.00251077,0.00266442,0.00290118,0.003045165,0.002667745,0.0030163,0.00294137,0.00267164,0.00264908,0.001627345,0.002370655,0.002635686,0.002470953,0.002291912,0.002264647,0.002002147,0.001728041,0.001851929,0.002477195
485,0.00455627,0.005573861,0.004198855,0.006476993,0.005793358,0.002518362,0.002768845,0.00664158,0.003909915,0.005822285,0.00497095,0.005127165,0.004546795,0.003316495,0.002784045,0.00303138,0.002592595,0.00265247,0.00279972,0.00309178,0.003251565,0.002820945,0.0032023,0.00311887,0.00284824,0.00282838,0.001739245,0.002536755,0.00273975,0.002562081,0.002374462,0.002355443,0.00207909,0.001814522,0.001926121,0.00260702
490,0.004662771,0.00528104,0.004171223,0.006290289,0.005888674,0.002600317,0.002862103,0.006785887,0.004066601,0.006131085,0.00510105,0.005274065,0.004672495,0.003386095,0.002844445,0.00310158,0.002693695,0.00277707,0.00291662,0.00327438,0.003444865,0.002962445,0.003375,0.00328387,0.00302184,0.00300418,0.001848245,0.002700155,0.002848198,0.002656445,0.002457856,0.002444892,0.002158202,0.001890134,0.001999773,0.002742021
495,0.004749168,0.004863209,0.004106788,0.005969351,0.005937567,0.002654959,0.002931459,0.006877057,0.004168397,0.006396485,0.00518745,0.005309465,0.004777595,0.003411895,0.002878045,0.00312728,0.002775295,0.00288407,0.00301512,0.00343308,0.003622965,0.003090645,0.0035238,0.00343097,0.00318774,0.00316868,0.001951945,0.002857855,0.002956462,0.002764118,0.002552379,0.002552529,0.00225081,0.002003796,0.002088227,0.002886035
500,0.00488507,0.00442272,0.00407604,0.005620149,0.006029491,0.002748379,0.003014572,0.006922717,0.004246988,0.006579585,0.00515275,0.005261365,0.004778495,0.003408195,0.002884845,0.00311608,0.002846795,0.00297877,0.00310312,0.00357758,0.003790365,0.003206645,0.0036486,0.00355267,0.00333884,0.00332118,0.002052545,0.003008155,0.003061729,0.002857567,0.002654185,0.002658516,0.002351235,0.002126792,0.002195734,0.003035448
505,0.004987879,0.003856007,0.003974793,0.005104533,0.00604872,0.002806617,0.00302549,0.006787587,0.004246555,0.006603385,0.00484425,0.005020965,0.004598695,0.003304995,0.002804245,0.00302768,0.002870595,0.00301587,0.00313212,0.00365778,0.003883865,0.003262345,0.0036934,0.00359797,0.00342624,0.00340378,0.002113045,0.003098855,0.003147627,0.002957997,0.002751624,0.002775815,0.002474374,0.002273402,0.002323674,0.003201968
510,0.004991979,0.003167708,0.003741843,0.004396267,0.005894619,0.002822336,0.003043594,0.006570848,0.004063889,0.006335285,0.00449785,0.004692765,0.004235995,0.003070395,0.002589645,0.00280888,0.002784595,0.00292747,0.00303902,0.00356948,0.003806465,0.003193145,0.0035695,0.00348117,0.00335444,0.00332888,0.002075445,0.003042055,0.003200806,0.003043271,0.00283185,0.002885805,0.002595012,0.002425026,0.002456471,0.003355137
515,0.005041208,0.002721547,0.003575981,0.003937871,0.005816683,0.002855487,0.003180562,0.006656484,0.003952645,0.006064185,0.00433925,0.004460965,0.003947295,0.002887195,0.002425145,0.00262168,0.002715795,0.00285197,0.00295632,0.00349168,0.003723565,0.003121145,0.0034423,0.00335937,0.00327204,0.00325068,0.002034145,0.002980355,0.003247227,0.00311821,0.002909271,0.002989196,0.002718773,0.002561372,0.002586099,0.003506931
520,0.005234214,0.002623811,0.003606553,0.003846488,0.006020256,0.002991141,0.003349464,0.006779463,0.004141095,0.006142985,0.00422735,0.004386265,0.003849695,0.002847495,0.002384945,0.00257978,0.002751995,0.00290137,0.00300042,0.00357978,0.003823565,0.003186745,0.0035066,0.00342007,0.00336054,0.00333598,0.002090845,0.003069655,0.003361011,0.003246314,0.003030112,0.003153723,0.002898321,0.002754845,0.002762621,0.00373916
525,0.005392379,0.002523473,0.003611249,0.003749823,0.006209439,0.003097499,0.003410416,0.006821804,0.004285595,0.006296285,0.00411635,0.004330065,0.003865695,0.002805195,0.002372145,0.00255728,0.002798395,0.00297107,0.00306332,0.00369698,0.003958465,0.003274745,0.0036123,0.00352337,0.00348444,0.00345708,0.002169045,0.003186955,0.003509781,0.003415951,0.003202333,0.003354049,0.003112742,0.002980201,0.00297489,0.004015376
530,0.005473828,0.00237367,0.003536063,0.003574117,0.006315475,0.003168714,0.003391683,0.006702695,0.004370612,0.006381285,0.00413845,0.004292565,0.003888795,0.002761895,0.002346745,0.00252518,0.002829095,0.00301877,0.00310592,0.00378478,0.004053365,0.003334345,0.0036827,0.00359237,0.00357204,0.00354628,0.002229245,0.003273455,0.003654827,0.00357759,0.003367414,0.003563593,0.003334947,0.003220965,0.003195085,0.004298353
535,0.005532585,0.00223408,0.003446231,0.003403481,0.006411031,0.00323858,0.003313754,0.006620905,0.004420277,0.006361785,0.00408985,0.004207765,0.003831195,0.002699795,0.002285745,0.00246278,0.002826195,0.00303117,0.00311792,0.00381618,0.004092165,0.003350945,0.0037012,0.00361047,0.00361094,0.00358388,0.002255445,0.003313055,0.003800705,0.00374836,0.003539383,0.003784302,0.003565293,0.003472077,0.003435606,0.004576067
540,0.005548628,0.002071073,0.003306317,0.003191315,0.006448619,0.003264746,0.003255854,0.006547296,0.004396335,0.006254085,0.00387705,0.004039665,0.003602295,0.002626495,0.002221345,0.00238548,0.002803295,0.00301577,0.00310212,0.00380658,0.004088465,0.003341045,0.0036768,0.00358907,0.00360754,0.00358138,0.002257145,0.003317655,0.003905263,0.003878339,0.003678126,0.003963599,0.003767347,0.003688136,0.003649981,0.004804128
545,0.005512612,0.001881099,0.003137792,0.002949774,0.006413835,0.003274774,0.003139101,0.006381483,0.00429326,0.006048585,0.00369805,0.003833065,0.003333195,0.002506795,0.002126145,0.00227858,0.002738395,0.00294987,0.00303632,0.00373878,0.004018465,0.003277445,0.0035879,0.00350557,0.00353884,0.00351338,0.002219145,0.003259655,0.003988212,0.003985838,0.003796632,0.004115163,0.003948564,0.003887858,0.003849495,0.004997093
550,0.005446547,0.001664714,0.002942023,0.002703656,0.00626894,0.003269038,0.003110251,0.006185528,0.004136011,0.005754385,0.00351695,0.003600665,0.003158995,0.002353195,0.001994045,0.00214138,0.002630095,0.00283617,0.00292342,0.00360408,0.003877965,0.003160845,0.0034354,0.00335707,0.00340344,0.00337588,0.002138045,0.003137855,0.004036719,0.004073907,0.00388698,0.004246667,0.004100108,0.004067644,0.004023553,0.005166321
555,0.00548066,0.001531508,0.002848594,0.002552739,0.006233033,0.003345996,0.003171872,0.006172922,0.004089514,0.005580285,0.00333075,0.003465565,0.003113395,0.002261695,0.001906045,0.00205268,0.002571695,0.00278027,0.00286762,0.00353108,0.003811065,0.003103045,0.0033495,0.00327277,0.00333204,0.00330648,0.002097545,0.003080755,0.004087104,0.004141825,0.003969067,0.004348439,0.004226763,0.004210648,0.004172622,0.005305255
560,0.005556753,0.001431094,0.002796562,0.002459105,0.006230618,0.003457213,0.003251482,0.006193506,0.004117136,0.005514585,0.00326265,0.003423465,0.003023795,0.002224595,0.001863145,0.00200748,0.002561495,0.00278427,0.00287042,0.00354188,0.003818265,0.003106145,0.0033306,0.00325547,0.00332674,0.00330278,0.002098645,0.003086055,0.004143749,0.004210374,0.004052253,0.004456784,0.004333909,0.004339101,0.004293757,0.005459649
565,0.005527705,0.001316082,0.002679816,0.002312294,0.006102437,0.003491766,0.003260536,0.00610017,0.004019026,0.005357485,0.00314295,0.003284465,0.002818495,0.002146495,0.001799045,0.00193588,0.002508695,0.00273587,0.00282042,0.00348178,0.003756265,0.003051245,0.0032545,0.00318337,0.00326074,0.00323808,0.002062045,0.003031655,0.004149925,0.004224865,0.004067008,0.004480702,0.004358829,0.004384071,0.00433302,0.005513598
570,0.005363415,0.00119443,0.002511745,0.002128848,0.005793102,0.00342806,0.003285962,0.00592158,0.003778306,0.005034885,0.00289405,0.003016165,0.002624695,0.002026695,0.001710745,0.00182818,0.002389995,0.00260367,0.00268232,0.00330328,0.003570365,0.002901145,0.0030705,0.00300577,0.00308544,0.00306378,0.001955845,0.002874755,0.004066419,0.004131965,0.003985049,0.004398327,0.0042764,0.004302245,0.004266842,0.005440882
575,0.005012664,0.001000366,0.00224794,0.001858112,0.005220631,0.003214149,0.00313776,0.005453303,0.003330577,0.004514685,0.00256635,0.002617865,0.002315295,0.001852795,0.001565945,0.00166858,0.002183595,0.00235987,0.00243072,0.00297818,0.003225165,0.002632445,0.0027461,0.00269197,0.00277124,0.00274958,0.001761645,0.002585755,0.003849099,0.00391673,0.003763833,0.004148393,0.004031984,0.004060999,0.004050901,0.005184871
580,0.004433527,0.00079916,0.001915512,0.001567766,0.004429943,0.002824009,0.002842328,0.004715244,0.002711523,0.003782685,0.00218395,0.002235865,0.001945395,0.001622495,0.001365045,0.00145288,0.001878995,0.00199857,0.00205972,0.00248748,0.002703265,0.002228545,0.0022755,0.00223477,0.00230064,0.00228368,0.001471745,0.002151855,0.003506419,0.003573246,0.003416402,0.003753849,0.003663104,0.003680375,0.003715514,0.00473904
585,0.003713575,0.000615733,0.001578749,0.001290047,0.003608123,0.002331048,0.002425709,0.003973076,0.002056903,0.002962885,0.00177305,0.001860165,0.001560295,0.001388295,0.001151745,0.00122648,0.001532695,0.00159507,0.00164452,0.00192178,0.002098565,0.001763145,0.0017497,0.00172287,0.00176934,0.00175848,0.001145245,0.001661355,0.003094744,0.003150177,0.002980624,0.003277586,0.003213117,0.003220318,0.003297523,0.004146832
590,0.003044254,0.000474001,0.001290873,0.001056974,0.00290277,0.001870729,0.00210334,0.003362352,0.00150287,0.002263285,0.00129875,0.001299665,0.001125695,0.001174095,0.000969345,0.00103718,0.001232795,0.00125377,0.00129752,0.00144998,0.001588265,0.001363945,0.0013221,0.00130197,0.00133324,0.00132758,0.000874345,0.001254755,0.002600138,0.002659541,0.002498691,0.002744153,0.002711652,0.002696933,0.002817944,0.003441079
595,0.002410961,0.000329782,0.00103791,0.00085799,0.002267343,0.001457576,0.001660726,0.00269699,0.001056243,0.001723985,0.00100255,0.001016365,0.000850795,0.000971095,0.000811045,0.00085428,0.000982695,0.00098417,0.00102102,0.00108678,0.001197665,0.001043645,0.0009855,0.00097457,0.00099134,0.00099208,0.000660945,0.000936055,0.002114983,0.002199209,0.002045928,0.002258665,0.002252764,0.002208139,0.002376719,0.002786641
600,0.001829566,0.000204183,0.000820415,0.000694782,0.001687255,0.00109789,0.001282685,0.002009851,0.000667014,0.001315385,0.00088765,0.000965165,0.000711595,0.000770195,0.000633045,0.00067858,0.000759595,0.00075267,0.00078352,0.00080218,0.000891365,0.000784945,0.0007244,0.00072137,0.00072544,0.00073288,0.000491845,0.000684855,0.001726489,0.001822088,0.001700943,0.00188303,0.001891513,0.001857762,0.002031492,0.002283634
605,0.001584028,0.000143406,0.000721654,0.000616031,0.001444354,0.000950929,0.00112239,0.001706623,0.000516844,0.001114285,0.00084305,0.000907665,0.000653195,0.000682395,0.000538445,0.00058568,0.000644295,0.00063697,0.00066682,0.00066788,0.000743465,0.000660645,0.0006013,0.00060237,0.00060334,0.00061078,0.000412545,0.000569355,0.001495565,0.00159655,0.001483909,0.001664031,0.001675399,0.001651565,0.001813183,0.001990694
610,0.00152708,0.000141257,0.000694201,0.000594231,0.001398231,0.000924739,0.00115257,0.001815444,0.000504846,0.001047085,0.00067685,0.000758765,0.000477995,0.000626895,0.000489345,0.00054778,0.000595895,0.00058717,0.00062092,0.00060638,0.000682665,0.000613345,0.0005603,0.00056257,0.00056244,0.00056838,0.000383845,0.000529255,0.001399076,0.001499857,0.001392098,0.001558897,0.001570675,0.001547335,0.001710454,0.001866547
